x_pixel,y_pixel,ra_deg,dec_deg,dx_arcsec,dy_arcsec,radius_from_center_arcsec,inside_nominal_aperture,pabeta_flux,pagamma_flux,ratio,best_av,best_te,best_ne,best_intrinsic_ratio,grid_residual,chaos_1sigma,chaos_2sigma,chaos_3sigma
63,48,202.48204413439225,47.19590358799272,0.100000001490116,0.0,0.100000001490116,True,8.937991542290279,2.621955156326294,3.4089032837669073,4.909379594759789,5000.0,100000000000000.0,2.38739377,2.672176797556992,False,False,False
64,48,202.48200325428445,47.195903587970925,0.2000000029802321,0.0,0.2000000029802321,True,7.5323801410560955,1.247321367263794,6.038844790721111,12.790861442759635,5000.0,100000000000000.0,2.38739377,10.553658645556837,False,False,False
65,48,202.48196237417667,47.19590358793456,0.3000000044703481,0.0,0.3000000044703481,True,6.138064266934694,7.638416290283203,0.8035781284587618,-6.479977580389549,5000.0,100000000000.0,1.28589947,8.717180377592346,False,False,False
66,48,202.4819214940689,47.19590358788367,0.4000000059604642,0.0,0.4000000059604642,True,6.004182237085398,5.237846374511719,1.146307433968053,-1.5838519683414498,5000.0,100000000000.0,1.28589947,3.8210547655442473,False,False,False
58,49,202.4822485350167,47.195931365661856,-0.4000000059604642,0.100000001490116,0.4123105687056719,True,37.73070288963084,17.258222579956055,2.186245003784562,2.2355120202809005,5000.0,1000.0,1.85891544,0.0016907769218970081,True,True,True
59,49,202.48220765488756,47.19593136571277,-0.3000000044703481,0.100000001490116,0.3162277707289986,True,22.203337018376246,10.814229011535645,2.053159498905722,2.249344877175161,30000.0,100.0,1.74400462,0.012142079972363717,True,True,True
60,49,202.48216677475835,47.195931365749104,-0.2000000029802321,0.100000001490116,0.2236068010819797,True,12.456363569386543,6.408127307891846,1.9438383432311137,2.2358664823483325,20000.0,10000000000.0,1.65275995,0.0013363148544649484,True,True,True
61,49,202.4821258946292,47.19593136577092,-0.100000001490116,0.100000001490116,0.1414213583446518,True,8.044129953982635,5.18167781829834,1.5524180074600475,2.596119686580675,5000.0,100000000000.0,1.28589947,0.35891688937787736,False,False,False
62,49,202.4820850145,47.19593136577819,0.0,0.100000001490116,0.100000001490116,True,7.892622806123109,6.721285343170166,1.1742728366893689,-1.2516345205178128,5000.0,100000000000.0,1.28589947,3.48883731772061,False,False,False
63,49,202.4820441343708,47.19593136577092,0.100000001490116,0.100000001490116,0.1414213583446518,True,9.16208289237604,2.752180576324463,3.3290267983113235,4.582573818836382,5000.0,100000000000000.0,2.38739377,2.3453710216335844,False,False,False
64,49,202.48200325424165,47.195931365749104,0.2000000029802321,0.100000001490116,0.2236068010819797,True,8.279011517963216,3.6465423107147217,2.270373085658927,2.1587304901962137,10000.0,10000000000000.0,1.94123163,0.07847230700658381,False,False,True
65,49,202.48196237411247,47.19593136571277,0.3000000044703481,0.100000001490116,0.3162277707289986,True,5.1994269215636715,1.6962076425552368,3.0653245458386458,3.4451019589998406,5000.0,100000000000000.0,2.38739377,1.2078991617970432,False,False,False
66,49,202.4819214939833,47.195931365661856,0.4000000059604642,0.100000001490116,0.4123105687056719,True,4.245083114688577,1.314997673034668,3.2282057997046065,4.15869514923946,5000.0,100000000000000.0,2.38739377,1.9214923520366622,False,False,False
58,50,202.48224853510231,47.19595914344005,-0.4000000059604642,0.2000000029802321,0.4472136021639595,True,43.32175229138113,14.045942306518555,3.0842894941463643,3.5301143264372743,5000.0,100000000000000.0,2.38739377,1.2929115292344768,False,False,False
59,50,202.4822076549517,47.19595914349094,-0.3000000044703481,0.2000000029802321,0.3605551329190887,True,29.242668784029586,10.213276863098145,2.863201416744809,2.504914248958193,5000.0,100000000000000.0,2.38739377,0.26771145175539557,False,False,False
60,50,202.4821667748012,47.1959591435273,-0.2000000029802321,0.2000000029802321,0.2828427166893036,True,14.568269013292875,9.012016296386719,1.616538245623666,2.3430914980615727,7500.0,100000000000.0,1.36381997,0.10588870085877522,False,False,False
