x_pixel,y_pixel,ra_deg,dec_deg,dx_arcsec,dy_arcsec,radius_from_center_arcsec,inside_nominal_aperture
115,1,202.4799184220943,47.19459801200331,5.300000078976151,-4.700000070035454,7.083784404926542,False
116,1,202.47987754299234,47.19459801122539,5.400000080466267,-4.700000070035454,7.158910638314252,False
117,1,202.47983666389038,47.19459801043295,5.500000081956383,-4.700000070035454,7.234639006878885,False
118,1,202.47979578478845,47.19459800962597,5.600000083446499,-4.700000070035454,7.3109507995153455,False
119,1,202.4797549056865,47.194598008804434,5.700000084936615,-4.700000070035454,7.3878279369927595,False
120,1,202.47971402658453,47.194598007968374,5.8000000864267305,-4.700000070035454,7.465252953576547,False
121,1,202.4796731474826,47.19459800711776,5.900000087916847,-4.700000070035454,7.54320897866101,False
122,1,202.47963226838067,47.194598006252605,6.000000089406963,-4.700000070035454,7.6216797184883625,False
123,1,202.4795913892787,47.19459800537291,6.100000090897079,-4.700000070035454,7.700649438019994,False
124,1,202.47955051017678,47.19459800447868,6.200000092387195,-4.700000070035454,7.780102943016532,False
0,2,202.48461952014995,47.194625782256836,-6.200000092387195,-4.600000068545338,7.720103741286016,False
1,2,202.48457864102662,47.19462578315106,-6.100000090897079,-4.600000068545338,7.640026291810878,False
2,2,202.48453776190325,47.19462578403076,-6.000000089406963,-4.600000068545338,7.5604233812334,False
3,2,202.48449688277995,47.19462578489589,-5.900000087916847,-4.600000068545338,7.481310157187437,False
4,2,202.48445600365656,47.19462578574653,-5.8000000864267305,-4.600000068545338,7.402702319637552,False
5,2,202.48441512453326,47.1946257865826,-5.700000084936615,-4.600000068545338,7.324616140037274,False
6,2,202.4843742454099,47.19462578740412,-5.600000083446499,-4.600000068545338,7.247068480787105,False
7,2,202.48433336628656,47.19462578821111,-5.500000081956383,-4.600000068545338,7.170076814939804,False
8,2,202.4842924871632,47.19462578900355,-5.400000080466267,-4.600000068545338,7.0936592460910335,False
9,2,202.48425160803984,47.19462578978147,-5.300000078976151,-4.600000068545338,7.017834528382977,False
10,2,202.48421072891648,47.19462579054483,-5.200000077486035,-4.600000068545338,6.942622086537037,False
11,2,202.48416984979312,47.19462579129368,-5.1000000759959185,-4.600000068545338,6.868042035818905,False
12,2,202.4841289706698,47.19462579202794,-5.000000074505802,-4.600000068545338,6.794115201825411,False
13,2,202.48408809154643,47.19462579274771,-4.900000073015686,-4.600000068545338,6.72086313996728,False
14,2,202.48404721242304,47.19462579345291,-4.80000007152557,-4.600000068545338,6.6483081545053695,False
15,2,202.48400633329967,47.19462579414359,-4.700000070035454,-4.600000068545338,6.576473316980035,False
16,2,202.4839654541763,47.194625794819714,-4.600000068545338,-4.600000068545338,6.5053824838539835,False
17,2,202.48392457505295,47.194625795481286,-4.500000067055222,-4.600000068545338,6.435060313168332,False
18,2,202.4838836959296,47.19462579612832,-4.400000065565107,-4.600000068545338,6.365532279989636,False
19,2,202.4838428168062,47.19462579676084,-4.3000000640749905,-4.600000068545338,6.29682469040246,False
20,2,202.4838019376828,47.19462579737883,-4.200000062584874,-4.600000068545338,6.228964693777776,False
21,2,202.48376105855945,47.194625797982226,-4.100000061094758,-4.600000068545338,6.161980293022214,False
22,2,202.4837201794361,47.194625798571096,-4.000000059604642,-4.600000068545338,6.095900352487256,False
23,2,202.48367930031267,47.194625799145456,-3.900000058114526,-4.600000068545338,6.030754603191081,False
24,2,202.4836384211893,47.19462579970525,-3.80000005662441,-4.600000068545338,5.966573644979389,False
25,2,202.48359754206592,47.19462580025053,-3.7000000551342938,-4.600000068545338,5.9033889452255215,False
26,2,202.48355666294253,47.19462580078124,-3.6000000536441776,-4.600000068545338,5.84123283364524,False
27,2,202.48351578381914,47.19462580129743,-3.500000052154062,-4.600000068545338,5.78013849277814,False
28,2,202.48347490469575,47.19462580179909,-3.400000050663946,-4.600000068545338,5.720139943666759,False
29,2,202.48343402557236,47.19462580228619,-3.3000000491738297,-4.600000068545338,5.661272026246786,False
30,2,202.48339314644898,47.19462580275873,-3.2000000476837136,-4.600000068545338,5.60357037394846,False
31,2,202.48335226732559,47.19462580321676,-3.1000000461935975,-4.600000068545338,5.547071382001264,False
32,2,202.4833113882022,47.194625803660244,-3.0000000447034814,-4.600000068545338,5.491812168932765,False
33,2,202.4832705090788,47.19462580408918,-2.9000000432133652,-4.600000068545338,5.437830530758993,False
34,2,202.48322962995542,47.19462580450357,-2.8000000417232496,-4.600000068545338,5.385164887379709,False
