Te,ne,intrinsic_ratio,observed_ratio,ratio_sigma,ratio_observed_minus_intrinsic,required_Av,A_Pa_beta,A_Pa_gamma,predicted_ratio,ratio_residual,ratio_residual_sigma,solution_class,required_Av_minus_1sigma,required_Av_plus_1sigma,required_Av_uncertainty,CHAOS_Av,CHAOS_Av_sigma,delta_Av,difference_sigma
15000.0,1000000000000.0,1.68134172,3.352378,0.103204,1.67103628,6.7128002,2.42085056,3.17009304,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,6.40862661,7.00775023,0.299561813,2.2372027972027975,0.028181818181818183,4.475597402797202,158.81152074441684
15000.0,10000000000000.0,1.85280528,3.352378,0.103204,1.49957272,5.76816533,2.080185,2.72399301,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.46399174,6.06311536,0.299561813,2.2372027972027975,0.028181818181818183,3.530962532797203,125.2922189057072
15000.0,100000000000000.0,1.89483997,3.352378,0.103204,1.45753803,5.54994095,2.00148631,2.62093742,3.352378,0.0,0.0,positive_Av,5.24576736,5.84489099,0.299561813,2.2372027972027975,0.028181818181818183,3.3127381527972024,117.5487731637717
20000.0,100.0,1.76265238,3.352378,0.103204,1.58972562,6.25338913,2.25517223,2.953138,3.352378,1.33226763e-15,1.29090697e-14,positive_Av,5.94921553,6.54833916,0.299561813,2.2372027972027975,0.028181818181818183,4.0161863327972025,142.5098376153846
20000.0,1000.0,1.76154414,3.352378,0.103204,1.59083386,6.25950711,2.25737857,2.9560272,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,5.95533352,6.55445715,0.299561813,2.2372027972027975,0.028181818181818183,4.022304312797203,142.72692722828785
20000.0,10000.0,1.75979305,3.352378,0.103204,1.59258495,6.2691818,2.26086757,2.96059603,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.96500821,6.56413184,0.299561813,2.2372027972027975,0.028181818181818183,4.031979002797202,143.07022267990072
20000.0,100000.0,1.75679674,3.352378,0.103204,1.59558126,6.28575859,2.26684569,2.96842435,3.352378,0.0,0.0,positive_Av,5.981585,6.58070863,0.299561813,2.2372027972027975,0.028181818181818183,4.0485557927972025,143.65843135732007
20000.0,1000000.0,1.75268817,3.352378,0.103204,1.59968983,6.30853491,2.27505956,2.97918038,3.352378,0.0,0.0,positive_Av,6.00436131,6.60348494,0.299561813,2.2372027972027975,0.028181818181818183,4.071332112797203,144.4666233573201
20000.0,10000000.0,1.7427031,3.352378,0.103204,1.6096749,6.36411151,2.29510226,3.00542621,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,6.05993792,6.65906155,0.299561813,2.2372027972027975,0.028181818181818183,4.126908712797203,146.4386962605459
20000.0,100000000.0,1.69783518,3.352378,0.103204,1.65454282,6.61784035,2.386605,3.12524863,3.352378,-1.77635684e-15,-1.72120929e-14,positive_Av,6.31366675,6.91279038,0.299561813,2.2372027972027975,0.028181818181818183,4.380637552797202,155.4419776799007
20000.0,1000000000.0,1.6835333,3.352378,0.103204,1.6688447,6.70012882,2.41628086,3.16410903,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,6.39595523,6.99507885,0.299561813,2.2372027972027975,0.028181818181818183,4.462926022797202,158.3618911315136
20000.0,10000000000.0,1.65275995,3.352378,0.103204,1.69961805,6.87958504,2.48099851,3.24885652,3.352378,0.0,0.0,positive_Av,6.57541145,7.17453507,0.299561813,2.2372027972027975,0.028181818181818183,4.642382242797202,164.72969248635235
20000.0,100000000000.0,1.56312094,3.352378,0.103204,1.78925706,7.42201695,2.67661682,3.50501782,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,7.11784336,7.71696698,0.299561813,2.2372027972027975,0.028181818181818183,5.184814152797202,183.97727638957812
