species,wavelength_source,rest_wavelength_vacuum_nm,predicted_wavelength_at_M51_nm,observed_feature_nm,wavelength_difference_nm,absolute_wavelength_difference_nm,required_velocity_kms,reference_velocity_kms,velocity_offset_kms,instrument_fwhm_nm,distance_in_fwhm,relative_intensity,Aki_s-1,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,accuracy,line_reference,ranking
H I,Ritz vacuum,1282.1609727219231,1284.617027207495,1284.2613044,0.35572280749511265,0.35572280749511265,490.693351811533,573.72,-83.02664818846705,1.4015729612572303,0.2538025613565093,nan,14954.0,97492.319433,105291.65209,3d,2D,3/2,5p,2P*,3/2,AAA,,strong
H I,Ritz vacuum,1282.1610177341472,1284.6170723059427,1284.2613044,0.3557679059426846,0.3557679059426846,490.6828271667126,573.72,-83.0371728332874,1.4015729612572303,0.2538347383810514,nan,565250.0,97492.319611,105291.651993,3p,2P*,3/2,5d,2D,3/2,AAA,,strong
H I,Ritz vacuum,1282.1644786740546,1284.6205398754835,1284.2613044,0.35923547548350143,0.35923547548350143,489.8736000164314,573.72,-83.84639998356863,1.4015729612572303,0.2563087940575439,nan,603200.0,97492.319611,nan,3p,2P*,3/2,5s,2S,1/2,AAA,,strong
H I,Ritz vacuum,1282.164822767502,1284.620884628062,1284.2613044,0.3595802280619864,0.3595802280619864,489.7931451817448,573.72,-83.92685481825521,1.4015729612572303,0.2565547695351072,nan,149560.0,97492.319433,105291.62867,3d,2D,3/2,5p,2P*,1/2,AAA,,strong
H I,Ritz vacuum,1282.1650038166706,1284.6210660240408,1284.2613044,0.359761624040857,0.359761624040857,489.7508128500721,573.72,-83.9691871499279,1.4015729612572303,0.2566841926788783,nan,4542100.0,97492.355566,105291.6637,3d,2D,5/2,5f,2F*,7/2,AAA,,strong
H I,Ritz vacuum,1282.1656389891677,1284.6217024132482,1284.2613044,0.36039801324818654,0.36039801324818654,489.60229891595213,573.72,-84.1177010840479,1.4015729612572303,0.25713824624934584,nan,302810.0,97492.355566,nan,3d,2D,5/2,5f,2F*,5/2,AAA,,strong
H I,Ritz vacuum,1282.166912334978,1284.6229781982267,1284.2613044,0.36167379822677503,0.36167379822677503,489.30456962758024,573.72,-84.41543037241979,1.4015729612572303,0.2580484985257911,nan,134590.0,97492.355566,105291.65209,3d,2D,5/2,5p,2P*,3/2,AAA,,strong
Mg II,Ritz vacuum,1281.3674092098097,1283.8219435779667,1284.2613044,-0.4393608220332226,0.4393608220332226,676.2996094356492,573.72,102.57960943564922,1.4015729612572303,0.31347695352164173,1.0,nan,109073.97,116878.13,2p6.6h,2H*,11/2,2p6.10i,2I,9/2 or 11/2 or 13/2,,L6692,plausible
C I,Ritz vacuum,1282.2776564103906,1284.7339344104062,1284.2613044,0.472630010406192,0.472630010406192,463.4119025309302,573.72,-110.30809746906982,1.4015729612572303,0.33721398990334145,nan,2200.0,81344.05485,89142.68,2s2.2p.4p,3P,2,2s2.2p.(2P*<3/2>).8d,2[5/2]*,2,D,,plausible
C I,Ritz vacuum,1281.320396442341,1283.7748407547867,1284.2613044,-0.4864636452132345,0.4864636452132345,687.2989985839679,573.72,113.57899858396786,1.4015729612572303,0.34708406815787163,nan,19000.0,80834.62491,88639.1,2s2.2p.4p,3D,3,2s2.2p.(2P*<3/2>).7d,2[3/2]*,2,D,,plausible
Fe I,Ritz vacuum,1282.3430941817157,1284.7994975316174,1284.2613044,0.5381931316173905,0.5381931316173905,448.11318441308026,573.72,-125.60681558691977,1.4015729612572303,0.3839922333651641,29.0,nan,24335.766,32133.991,3d7.(2P).4s,c 3P,2,3d6.(5D).4s.4p.(3P*),z 3F*,2,,L11631,plausible
N III,Ritz vacuum,1281.2503774269687,1283.7046876138868,1284.2613044,-0.5566167861131817,0.5566167861131817,703.6818122533723,573.72,129.96181225337227,1.4015729612572303,0.39713721761148185,nan,10800000.0,378432.8,386237.7,2s.2p.(3P*).4p,4S,3/2,2s.2p.(3P*).4d,4P*,5/2,B,,plausible
C I,Ritz vacuum,1281.2203692775254,1283.6746219820745,1284.2613044,-0.5866824179254309,0.5866824179254309,710.7032909046856,573.72,136.98329090468553,1.4015729612572303,0.4185885673758779,nan,4500.0,80801.28887,88606.32,2s2.2p.4p,3D,2,2s2.2p.(2P*<3/2>).7d,2[5/2]*,3,D,,plausible
Fe I,Ritz vacuum,1282.4147936535753,1284.8713343480174,1284.2613044,0.6100299480174272,0.6100299480174272,431.3514348832591,573.72,-142.3685651167409,1.4015729612572303,0.4352466584902022,9.0,nan,41130.599,48928.388,3d6.(5D).4s.4p.(1P*),x 5F*,1,3d7.(4F).5s,e 3F,2,,L11631,plausible
Fe I,Ritz vacuum,1281.1746568632095,1283.62882200295,1284.2613044,-0.6324823970498983,0.6324823970498983,721.3996579581086,573.72,147.67965795810858,1.4015729612572303,0.45126612351493484,204.0,nan,40231.336,48036.673,3d6.(5D).4s.4p.(1P*),x 5D*,2,3d7.(4F).5s,e 5F,2,,L11631,plausible
Mg II,Ritz vacuum,1281.0673277153862,1283.521287259854,1284.2613044,-0.7400171401459374,0.7400171401459374,746.5153780002621,573.72,172.79537800026208,1.4015729612572303,0.5279904511586268,2.0,nan,109072.05,116878.04,2p6.6g,2G,9/2,2p6.10h,2H*,11/2,,L6692,plausible
Fe I,Ritz vacuum,1281.0655072209872,1283.5194632781913,1284.2613044,-0.7418411218086476,0.7418411218086476,746.9414036122928,573.72,173.22140361229276,1.4015729612572303,0.5292918330439293,355.0,nan,29356.744,37162.746,3d6.4s2,b 3D,2,3d7.(4F).4p,y 3F*,3,,L11631,plausible
Fe II,Ritz vacuum,1282.6304322158917,1285.0873859786375,1284.2613044,0.8260815786375133,0.8260815786375133,380.94554314116823,573.72,-192.7744568588318,1.4015729612572303,0.5893960581948632,1.4,nan,106361.238,114157.716,3d6.(5D).6p,6D*,9/2,3d6.(5D).6d,4G,11/2,,L18349c139,plausible
Fe II,Ritz vacuum,1280.9793538239635,1283.4331448492865,1284.2613044,-0.828159550713508,0.828159550713508,767.1034033967331,573.72,193.38340339673312,1.4015729612572303,0.5908786581974566,2.1,nan,105127.773,112934.3,3d6.(5D).5d,4D,5/2,3d6.(5D<4>).5f,2[2]*,5/2,,L18349c139,plausible
Fe II,Ritz vacuum,1282.6769948612102,1285.134037817432,1284.2613044,0.8727334174320731,0.8727334174320731,370.0625527879933,573.72,-203.65744721200673,1.4015729612572303,0.6226814026500762,9.0,6000.0,65696.053,73492.248,3d6.(3G).4p,x 4G*,9/2,3d5.4s2,4F,7/2,D,L18349c139,plausible
Al III,Ritz vacuum,1282.6957699600864,1285.1528488811105,1284.2613044,0.8915444811104862,0.8915444811104862,365.67439942225684,573.72,-208.0456005777432,1.4015729612572303,0.6361027971820736,nan,22600000.0,170637.35,178433.43,2p6.5s,2S,1/2,2p6.5p,2P*,1/2,A+,,plausible
Fe I,Ritz vacuum,1282.8367682519279,1285.2941172634432,1284.2613044,1.0328128634432687,1.0328128634432687,332.72204625202227,573.72,-240.99795374797776,1.4015729612572303,0.736895539506428,407.0,nan,24338.767,32133.991,3d6.4s2,b 3G,3,3d6.(5D).4s.4p.(3P*),z 3F*,2,,L11631,plausible
Ar I,Ritz vacuum,1280.6239072940418,1283.0770174407055,1284.2613044,-1.184286959294468,1.184286959294468,850.30084079963,573.72,276.58084079963,1.4015729612572303,0.8449698959889653,200.0,5700000.0,105617.27,113425.964,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,D,L2634,distant
