species,element,ion_stage,observed_wavelength_air_nm,observed_wavelength_uncertainty_nm,ritz_wavelength_air_nm,ritz_wavelength_uncertainty_nm,observed_wavelength_vacuum_nm,ritz_wavelength_vacuum_nm,relative_intensity,Aki_s-1,accuracy,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,transition_type,transition_probability_reference,line_reference,source,source_file
Fe I,Fe,1,1278.345,0.003,1278.3445,0.0005,1278.6946833709346,1278.6941832351124,nan,nan,,51539.72,59360.198,3d6.(5D).4s (6D).4d,e 7G,2,3d6.4s.(4D).5p,5P*,1,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1278.479,nan,1278.491405,6e-06,1278.8287197712793,1278.841128141029,nan,20331.0,AAA,nan,nan,1s.3d,3D,3,1s.5f,3F*,2,,T8636c73,L7384,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1278.479,nan,1278.491815,6e-06,1278.8287197712793,1278.8415382524033,nan,711420.0,AAA,nan,nan,1s.3d,3D,2,1s.5f,3F*,2,,T8636c73,L7384,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1278.479,nan,1278.492126,6e-06,1278.8287197712793,1278.841849336885,nan,4574600.0,AAA,nan,nan,1s.3d,3D,3,1s.5f,3F*,4,,T8636c73,L7384,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1278.479,nan,1278.492629,6e-06,1278.8287197712793,1278.842352473522,nan,354570.0,AAA,nan,nan,1s.3d,3D,3,1s.5f,3F*,3,,T8636c73,L7384,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1278.479,nan,1278.493039,6e-06,1278.8287197712793,1278.842762584896,nan,2898000.0,AAA,nan,nan,1s.3d,3D,2,1s.5f,3F*,3,,T8636c73,L7384,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,nan,nan,1278.490566,6e-06,nan,1278.8402889131194,nan,153700.0,AA,nan,nan,1s.3d,3D,3,1s.5f,1F*,3,,T8636c73,,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,nan,nan,1278.490977,6e-06,nan,1278.840700024765,nan,1168000.0,AA,nan,nan,1s.3d,3D,2,1s.5f,1F*,3,,T8636c73,,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1278.499,nan,1278.499041,6e-06,1278.8487252041689,1278.8487662153063,50.0,3842600.0,AAA,nan,nan,1s.3d,3D,1,1s.5f,3F*,2,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1278.66,0.07,nan,1279.0097689389527,nan,60000.0,D,81344.05485,89162.6,2s2.2p.4p,3P,2,2s2.2p.(2P*<3/2>).8d,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1278.7728,nan,1278.77281,0.0001,1279.1225995804887,1279.122609583205,nan,0.00355,C+,862.6118,8680.4706,3d6.(5D).4s,a 6D,3/2,3d6.(5D).4s,a 4D,3/2,M1,T9588c104,L22760,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1278.7891,0.00013,1278.7893,0.0001,1279.138904008301,1279.13910406263,2.3,nan,,99918.563,107736.321,3d6.(3F2).5s,f 4F,3/2,3d6.(5D).6p,4F*,3/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
